IDLink,Title,Headline,Source,Topic,PublishDate,SentimentTitle,SentimentHeadline,Facebook,GooglePlus,LinkedIn
68153.0,"Obama, Nerd President, Needs to Get Right With 'Star Wars' Fans","President Barack Obama knocked off work on Friday afternoon to screen the new Star Wars film """"""The Force Awakens"""""" at the White House",Wall Street Journal (blog),obama,2015-12-21 16:46:40,0.0671681578298402,-0.0628077271508725,100,1,0
47207.0,"Johannesburg committed to developing job intensive economy, says ...","THE City of Johannesburg has committed itself to developing a resilient and job intensive economy, executive mayor Parks Tau said on",BDlive,economy,2016-05-04 12:41:17,-0.0395906140508094,-0.0244358575003846,4,1,2
71039.0,Whose President Was He?,"""""""If I spent all my time thinking about it, I'd be paralyzed,"""""" Barack Obama told me. """"""And frankly, the voters would justifiably say, 'I need somebody",POLITICO Magazine,obama,2016-01-07 00:00:00,0.0,0.408575281537883,87,1,1
44514.0,"Argentina pays off 'holdout' bondholders, elevating hopes for economy","In recent years, soybean farmer Mario Caceres had to pay interest rates of up to 50% on the bank loans he needed to buy planting equipment,",Los Angeles Times,economy,2016-04-23 11:01:15,-0.101851851851852,0.4375,-1,0,3
98795.0,"Obama: Trump displays ignorance, seeks tweets over solutions","U.S. President Barack Obama disparaged U.S. Republican presidential candidate Donald Trump, saying the billionaire seeks tweets over",PoliticusUSA,obama,2016-05-28 13:35:28,0.0,0.0,181,16,1
32152.0,Why Trudeau’s infrastructure plan may not be a quick and easy fix for the economy after all,"Ahead of Tuesday's federal budget, economists say infrastructure spending is not a fire hose that will magically flood the Canadian economy with cash ",Financial Post,economy,2016-03-17 10:02:00,-0.174370568055099,-0.0144801676428523,67,0,9
16782.0,Stocks Are Melting Down. Is The Economy Next?,But how closely is the stock market actually linked to what's happening in the economy? Bloomberg stocks reporter Oliver Renick joins Tori and,Bloomberg,economy,2016-01-14 18:40:22,0.0,0.0912250561499702,241,3,45
47352.0,Critics of China economy risk backlash from regulators,"The tale of China's economy is being burnished, and the authorities in the mainland and Hong Kong are cracking the whip on naysayers.",The Straits Times,economy,2016-05-04 22:40:19,0.0441941738241592,-0.18245011229994,2,0,14
14201.0,Nokia's 'Moonraker' wearable wasn't the smartwatch Microsoft ...,Microsoft is adding another prototype dream device to its list of canceled projects. The Nokia 'Moonraker' has surfaced in images as a potential,WinBeta,microsoft,2016-01-04 19:20:26,-0.14173667737846,-0.149869735103523,1,5,0
19201.0,Microsoft to Replace Some Surface Pro Power Cords Due to Overheating Reports," Microsoft said today it will replace power cords for some users of its Surface Pro line of computers after &quot;a very small proportion&quot; of customers reported issues with overheating. &quot;As a result of damage caused by AC power cords being wound too tightly, twisted or pinched over an extended period of time, a very small proportion of Surface Pro customers have reported issues with their AC power ",Good Morning America via Yahoo! News,microsoft,2016-01-20 21:12:00,0.180421959121758,-0.54623607486317,-1,-1,-1
